,"OI","CHNG IN OI","VOLUME","IV","LTP","CHNG","BID QTY","BID","ASK","ASK QTY","STRIKE","BID QTY","BID","ASK","ASK QTY","CHNG","LTP","IV","VOLUME","CHNG IN OI","OI",
,-,-,-,-,-,-,75,"2,188.45","2,461.10",75,"22,600.00",300,52.55,54.45,75,0.65,52.55,15.89,159,105,317,
,-,-,-,-,-,-,75,"1,881.40","2,353.90",75,"22,650.00",300,54.50,56.80,300,-,57.95,-,-,-,20,
,-,-,-,-,-,-,825,"1,819.40","2,362.40",75,"22,700.00",300,57.30,59.50,300,0.85,58.75,15.79,19,9,43,
,-,-,-,-,-,-,825,"1,785.75","2,313.40",75,"22,750.00",300,59.45,61.70,300,-5.85,61.55,15.70,5,5,30,
,1,-,-,-,"2,105.55",-,75,"2,094.20","2,265.40",75,"22,800.00",75,62.85,64.90,600,1.90,64.95,15.64,74,-20,663,
,1,-,-,-,"2,059.75",-,675,"1,690.65","2,217.45",75,"22,850.00",300,65.10,67.45,300,-,66.80,-,-,-,58,
,1,-,-,-,"2,014.25",-,375,"1,648.50","2,173.75",75,"22,900.00",300,67.60,69.95,300,-1.10,68.00,15.28,7,6,67,
,1,-,-,-,"1,969.00",-,75,"1,891.40","2,121.45",75,"22,950.00",300,70.50,72.85,300,-,80.20,-,-,-,44,
,84,15,16,-,"1,960.00",-42.60,75,"1,947.70","2,002.80",150,"23,000.00",225,74.65,76.00,225,1.65,75.00,15.08,"2,271",674,"3,218",
,1,-,-,-,"1,879.40",-,75,"1,872.65","2,031.45","1,725","23,050.00",300,77.50,79.80,300,1.00,77.00,14.95,16,7,349,
,1,-,-,-,"1,834.75",-,675,"1,488.75","1,984.05","1,725","23,100.00",300,80.85,82.95,300,2.65,81.00,14.88,62,-31,534,
,1,-,-,-,"1,790.35",-,75,"1,448.20","1,936.95","1,725","23,150.00",300,84.55,86.65,300,-7.75,84.80,14.79,10,6,302,
,2,-,-,-,"1,744.00",-,75,"1,408.20","1,890.30",75,"23,200.00",75,89.25,91.00,300,2.35,90.60,14.79,135,-51,733,
,1,-,-,-,"1,702.25",-,75,"1,697.75","1,848.00",75,"23,250.00",825,62.55,119.90,900,-,104.75,-,-,-,63,
,2,-,-,-,"1,520.90",-,75,"1,654.60","1,795.45","1,725","23,300.00",150,96.05,97.95,300,3.95,97.90,14.54,114,-36,"1,373",
,2,-,-,-,"1,477.15",-,75,"1,611.45","1,834.35","1,800","23,350.00",900,91.25,122.25,900,-,112.70,-,-,-,39,
,3,-,-,-,"1,433.80",-,75,"1,569.10","1,702.50","1,725","23,400.00","1,800",105.00,106.20,225,2.55,105.40,14.28,156,86,"1,781",
,3,-,-,-,"1,390.85",-,75,"1,526.70","1,754.90","1,725","23,450.00",75,83.15,198.05,900,-,118.10,-,-,-,28,
